,ori,agency_name,agency_id,state_name,state_abbr,division_name,region_name,region_desc,county_name,agency_type_name,nibrs,nibrs_start_date,latitude,longitude,data_year,offense,cleared,actual
27,NC0010200,Elon Police Department,10875,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.097557,-79.50723,2020,violent-crime,6,9
28,NC0010200,Elon Police Department,10875,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.097557,-79.50723,2021,violent-crime,3,9
29,NC0010200,Elon Police Department,10875,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.097557,-79.50723,2022,violent-crime,4,10
30,NC0010300,Graham Police Department,10876,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935,2013,violent-crime,37,75
31,NC0010300,Graham Police Department,10876,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935,2014,violent-crime,55,68
32,NC0010300,Graham Police Department,10876,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935,2015,violent-crime,51,83
33,NC0010300,Graham Police Department,10876,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935,2016,violent-crime,47,77
34,NC0010300,Graham Police Department,10876,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935,2017,violent-crime,8,10
35,NC0010300,Graham Police Department,10876,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935,2019,violent-crime,18,52
36,NC0010300,Graham Police Department,10876,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935,2020,violent-crime,27,76
37,NC0010300,Graham Police Department,10876,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935,2021,violent-crime,25,77
38,NC0010300,Graham Police Department,10876,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935,2022,violent-crime,15,73
39,NC0010400,Mebane Police Department,10877,North Carolina,NC,South Atlantic,South,Region III,"ALAMANCE, ORANGE",City,True,2019-01-01T00:00:00.000Z,36.096394,-79.26827,2013,violent-crime,31,45
40,NC0010400,Mebane Police Department,10877,North Carolina,NC,South Atlantic,South,Region III,"ALAMANCE, ORANGE",City,True,2019-01-01T00:00:00.000Z,36.096394,-79.26827,2014,violent-crime,18,21
41,NC0010400,Mebane Police Department,10877,North Carolina,NC,South Atlantic,South,Region III,"ALAMANCE, ORANGE",City,True,2019-01-01T00:00:00.000Z,36.096394,-79.26827,2015,violent-crime,24,27
42,NC0010400,Mebane Police Department,10877,North Carolina,NC,South Atlantic,South,Region III,"ALAMANCE, ORANGE",City,True,2019-01-01T00:00:00.000Z,36.096394,-79.26827,2016,violent-crime,38,47
43,NC0010400,Mebane Police Department,10877,North Carolina,NC,South Atlantic,South,Region III,"ALAMANCE, ORANGE",City,True,2019-01-01T00:00:00.000Z,36.096394,-79.26827,2017,violent-crime,47,58
44,NC0010400,Mebane Police Department,10877,North Carolina,NC,South Atlantic,South,Region III,"ALAMANCE, ORANGE",City,True,2019-01-01T00:00:00.000Z,36.096394,-79.26827,2018,violent-crime,5,7
45,NC0010400,Mebane Police Department,10877,North Carolina,NC,South Atlantic,South,Region III,"ALAMANCE, ORANGE",City,True,2019-01-01T00:00:00.000Z,36.096394,-79.26827,2019,violent-crime,19,45
46,NC0010400,Mebane Police Department,10877,North Carolina,NC,South Atlantic,South,Region III,"ALAMANCE, ORANGE",City,True,2019-01-01T00:00:00.000Z,36.096394,-79.26827,2020,violent-crime,19,47
47,NC0010400,Mebane Police Department,10877,North Carolina,NC,South Atlantic,South,Region III,"ALAMANCE, ORANGE",City,True,2019-01-01T00:00:00.000Z,36.096394,-79.26827,2021,violent-crime,19,55
48,NC0010400,Mebane Police Department,10877,North Carolina,NC,South Atlantic,South,Region III,"ALAMANCE, ORANGE",City,True,2019-01-01T00:00:00.000Z,36.096394,-79.26827,2022,violent-crime,19,45
49,NC0010500,Haw River Police Department,10878,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935,2013,violent-crime,6,9
50,NC0010500,Haw River Police Department,10878,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935,2014,violent-crime,14,15
51,NC0010500,Haw River Police Department,10878,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935,2015,violent-crime,16,16
52,NC0010500,Haw River Police Department,10878,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935,2016,violent-crime,5,13
53,NC0010500,Haw River Police Department,10878,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935,2017,violent-crime,11,13
54,NC0010500,Haw River Police Department,10878,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935,2018,violent-crime,6,7
55,NC0010500,Haw River Police Department,10878,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935,2019,violent-crime,2,5
56,NC0010500,Haw River Police Department,10878,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935,2020,violent-crime,1,3
57,NC0010500,Haw River Police Department,10878,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935,2021,violent-crime,8,9
58,NC0010500,Haw River Police Department,10878,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,City,True,2019-01-01T00:00:00.000Z,36.041974,-79.399935,2022,violent-crime,0,3
59,NC001069E,Elon University,10879,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,University or College,True,2019-01-01T00:00:00.000Z,,,2013,violent-crime,2,2
60,NC001069E,Elon University,10879,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,University or College,True,2019-01-01T00:00:00.000Z,,,2014,violent-crime,1,2
61,NC001069E,Elon University,10879,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,University or College,True,2019-01-01T00:00:00.000Z,,,2015,violent-crime,1,0
62,NC001069E,Elon University,10879,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,University or College,True,2019-01-01T00:00:00.000Z,,,2016,violent-crime,1,2
63,NC001069E,Elon University,10879,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,University or College,True,2019-01-01T00:00:00.000Z,,,2017,violent-crime,1,0
64,NC001069E,Elon University,10879,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,University or College,True,2019-01-01T00:00:00.000Z,,,2018,violent-crime,1,2
65,NC001069E,Elon University,10879,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,University or College,True,2019-01-01T00:00:00.000Z,,,2019,violent-crime,0,1
66,NC001069E,Elon University,10879,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,University or College,True,2019-01-01T00:00:00.000Z,,,2020,violent-crime,0,1
67,NC001069E,Elon University,10879,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,University or College,True,2019-01-01T00:00:00.000Z,,,2021,violent-crime,0,1
68,NC001069E,Elon University,10879,North Carolina,NC,South Atlantic,South,Region III,ALAMANCE,University or College,True,2019-01-01T00:00:00.000Z,,,2022,violent-crime,1,1
69,NC0020000,Alexander County Sheriff's Office,10882,North Carolina,NC,South Atlantic,South,Region III,ALEXANDER,County,True,2019-01-01T00:00:00.000Z,35.920951,-81.177467,2013,violent-crime,32,42
70,NC0020000,Alexander County Sheriff's Office,10882,North Carolina,NC,South Atlantic,South,Region III,ALEXANDER,County,True,2019-01-01T00:00:00.000Z,35.920951,-81.177467,2014,violent-crime,39,55
71,NC0020000,Alexander County Sheriff's Office,10882,North Carolina,NC,South Atlantic,South,Region III,ALEXANDER,County,True,2019-01-01T00:00:00.000Z,35.920951,-81.177467,2015,violent-crime,57,60
72,NC0020000,Alexander County Sheriff's Office,10882,North Carolina,NC,South Atlantic,South,Region III,ALEXANDER,County,True,2019-01-01T00:00:00.000Z,35.920951,-81.177467,2016,violent-crime,70,83
73,NC0020000,Alexander County Sheriff's Office,10882,North Carolina,NC,South Atlantic,South,Region III,ALEXANDER,County,True,2019-01-01T00:00:00.000Z,35.920951,-81.177467,2017,violent-crime,51,62
74,NC0020000,Alexander County Sheriff's Office,10882,North Carolina,NC,South Atlantic,South,Region III,ALEXANDER,County,True,2019-01-01T00:00:00.000Z,35.920951,-81.177467,2018,violent-crime,64,77
75,NC0020000,Alexander County Sheriff's Office,10882,North Carolina,NC,South Atlantic,South,Region III,ALEXANDER,County,True,2019-01-01T00:00:00.000Z,35.920951,-81.177467,2019,violent-crime,57,92
76,NC0020000,Alexander County Sheriff's Office,10882,North Carolina,NC,South Atlantic,South,Region III,ALEXANDER,County,True,2019-01-01T00:00:00.000Z,35.920951,-81.177467,2020,violent-crime,50,61
77,NC0020000,Alexander County Sheriff's Office,10882,North Carolina,NC,South Atlantic,South,Region III,ALEXANDER,County,True,2019-01-01T00:00:00.000Z,35.920951,-81.177467,2021,violent-crime,54,82
78,NC0020000,Alexander County Sheriff's Office,10882,North Carolina,NC,South Atlantic,South,Region III,ALEXANDER,County,True,2019-01-01T00:00:00.000Z,35.920951,-81.177467,2022,violent-crime,51,70
79,NC0020100,Taylorsville Police Department,10883,North Carolina,NC,South Atlantic,South,Region III,ALEXANDER,City,True,2019-01-01T00:00:00.000Z,35.926838,-81.17012,2013,violent-crime,4,4
